,0
weekend,0.41774074207253276
1st,-0.021056829212351157
middle,-0.023887317998066156
late,0.01675065050919687
mon_or_fri_work,0.07579641506781955
day_after_holiday,0.0871454494396046
holiday,-0.400929965666923
holiday_2,-0.19317408969458577
day_after_holiday_2,-0.024901221545223434
day_before_holiday_3,0.08638146250005645
holiday_3,-0.207755875972337
day_after_holiday_3,0.22860711538873904
holiday_1st_or_3rd,0.04221561105587062
day_before_or_after_holiday_normal_work,-0.19513452465120876
day_before_holiday_2,0.005206364808316103
day_before_holiday_7,4.163336342344337e-17
sunday_work,0.023784223425287673
workday1,-0.024901221545223434
workday2,-0.14671554085097138
workday3,-0.14114186760655867
workday4,-0.11018847687809497
workday5,0.005206364808315992
