,0
workday,-0.21459305661644915
weekend,0.21459305661644942
1st,0.352497068779479
early,0.16424985562020702
middle,-0.03900390422881897
late,-0.1252459513913886
mon_or_fri_work,-0.24620932436813955
day_after_holiday,-0.003235631592143756
holiday,-0.7105709235586681
holiday_2,-0.2475702091722141
day_after_holiday_2,0.2738676903888684
day_before_holiday_3,-0.4584276693182401
holiday_3,-0.46300071438645163
day_after_holiday_2,0.27386769038886816
holiday_1st_or_3rd,-0.059428673651340976
day_before_or_after_holiday_normal_work,-0.18202929922658004
day_before_holiday_2,0.08462107035820396
day_before_holiday_7,0.0
sunday_work,-0.30645372445773444
